SCHID,LAT,LONG,GEOCODE_STATUS
03310515,-999.0,-999.0,FAILED
03320005,-999.0,-999.0,FAILED
03320007,-999.0,-999.0,FAILED
03320010,-999.0,-999.0,FAILED
03320025,-999.0,-999.0,FAILED
03320030,-999.0,-999.0,FAILED
03320040,-999.0,-999.0,FAILED
03320305,-999.0,-999.0,FAILED
03320505,-999.0,-999.0,FAILED
03320810,-999.0,-999.0,FAILED
03320830,-999.0,-999.0,FAILED
03320840,-999.0,-999.0,FAILED
03350012,42.2147708,-71.1756143,GEOCODED
03350017,42.2001157,-71.2350886,GEOCODED
03350025,42.2072927,-71.2350573,GEOCODED
03350030,42.2261111,-71.1933137,GEOCODED
03350050,42.2174032,-71.2165327,GEOCODED
03350305,42.2196321,-71.2211995,GEOCODED
03350505,42.2174032,-71.2165327,GEOCODED
03350805,42.2149363,-71.1958096,GEOCODED
03360003,42.2201872,-70.9396938,GEOCODED
03360005,42.2193807,-70.9427813,GEOCODED
03360020,42.221338,-70.932585,GEOCODED
03360050,42.2057815,-70.9614732,GEOCODED
03360060,42.2212188,-70.9391625,GEOCODED
03360065,42.2178129,-70.9253261,GEOCODED
03360080,42.2212188,-70.9391625,GEOCODED
03360085,42.2212188,-70.9391625,GEOCODED
03360105,42.2212188,-70.9391625,GEOCODED
03360110,42.246438,-70.9451364,GEOCODED
03360505,42.2212188,-70.9391625,GEOCODED
03360815,42.2212188,-70.9391625,GEOCODED
03360860,42.2212188,-70.9391625,GEOCODED
03360885,42.2200608,-70.9666989,GEOCODED
03360887,42.2145811,-70.965267,GEOCODED
03360890,42.2212188,-70.9391625,GEOCODED
03360895,42.2444496,-70.9418324,GEOCODED
03370005,-999.0,-999.0,FAILED
03380805,-999.0,-999.0,FAILED
03390850,-999.0,-999.0,FAILED
03400020,-999.0,-999.0,FAILED
03410830,-999.0,-999.0,FAILED
03410890,-999.0,-999.0,FAILED
03420005,42.546739,-71.1884704,GEOCODED
03420020,42.5464828,-71.1736669,GEOCODED
03420025,42.5464828,-71.1736669,GEOCODED
03420060,42.5464828,-71.1736669,GEOCODED
03420080,42.5492027,-71.1889969,GEOCODED
03420330,42.5493075,-71.1879963,GEOCODED
03420505,42.5464828,-71.1736669,GEOCODED
03420805,42.5464828,-71.1736669,GEOCODED
03430010,-999.0,-999.0,FAILED
03430040,-999.0,-999.0,FAILED
03430050,-999.0,-999.0,FAILED
03430315,-999.0,-999.0,FAILED
03430405,-999.0,-999.0,FAILED
03430515,-999.0,-999.0,FAILED
03430810,-999.0,-999.0,FAILED
03440005,42.4511943,-71.1344341,GEOCODED
03440020,42.4611063,-71.1504132,GEOCODED
03440025,42.4497271,-71.1750172,GEOCODED
03440040,42.4631681,-71.131424,GEOCODED
03440045,42.4455849,-71.1567029,GEOCODED
03440305,42.4492927,-71.1359706,GEOCODED
03440505,42.4561475,-71.1341192,GEOCODED
03440805,42.438394,-71.1335757,GEOCODED
03440825,42.455102,-71.1321633,GEOCODED
03440830,42.4646261,-71.1464228,GEOCODED
03440850,42.4558341,-71.1312054,GEOCODED
03460015,42.3852463,-70.9798447,GEOCODED
03460020,42.3773994,-70.9855001,GEOCODED
03460305,42.3813684,-70.9796262,GEOCODED
03460505,42.380641,-70.9789825,GEOCODED
03470005,42.4806035,-71.1246065,GEOCODED
03470020,42.4931659,-71.1598523,GEOCODED
03470025,42.5078457,-71.1618938,GEOCODED
03470040,42.4641179,-71.1767671,GEOCODED
03470043,42.4776194,-71.1412931,GEOCODED
03470055,42.4847829,-71.1416821,GEOCODED
03470065,42.4923131,-71.1542862,GEOCODED
03470405,42.4922568,-71.1467166,GEOCODED
03470410,42.4781644,-71.1765675,GEOCODED
03470505,42.4831575,-71.1435166,GEOCODED
03470805,42.477066,-71.150902,GEOCODED
03470830,-999.0,-999.0,FAILED
03480002,-999.0,-999.0,FAILED
03480020,-999.0,-999.0,FAILED
03480026,-999.0,-999.0,FAILED
03480030,-999.0,-999.0,FAILED
03480035,-999.0,-999.0,FAILED
03480045,-999.0,-999.0,FAILED
03480050,-999.0,-999.0,FAILED
03480052,-999.0,-999.0,FAILED
03480053,-999.0,-999.0,FAILED
03480055,-999.0,-999.0,FAILED
03480060,-999.0,-999.0,FAILED
03480090,-999.0,-999.0,FAILED
03480095,-999.0,-999.0,FAILED
03480100,-999.0,-999.0,FAILED
03480110,-999.0,-999.0,FAILED
03480115,-999.0,-999.0,FAILED
03480136,-999.0,-999.0,FAILED
03480140,-999.0,-999.0,FAILED
03480145,-999.0,-999.0,FAILED
03480160,-999.0,-999.0,FAILED
03480175,-999.0,-999.0,FAILED
03480177,-999.0,-999.0,FAILED
03480185,-999.0,-999.0,FAILED
03480200,-999.0,-999.0,FAILED
03480202,-999.0,-999.0,FAILED
03480210,-999.0,-999.0,FAILED
03480215,-999.0,-999.0,FAILED
03480220,-999.0,-999.0,FAILED
03480225,-999.0,-999.0,FAILED
03480230,-999.0,-999.0,FAILED
03480235,-999.0,-999.0,FAILED
03480240,-999.0,-999.0,FAILED
03480260,-999.0,-999.0,FAILED
03480280,-999.0,-999.0,FAILED
03480285,-999.0,-999.0,FAILED
03480290,-999.0,-999.0,FAILED
03480350,-999.0,-999.0,FAILED
03480405,-999.0,-999.0,FAILED
03480415,-999.0,-999.0,FAILED
03480420,-999.0,-999.0,FAILED
03480423,-999.0,-999.0,FAILED
03480503,-999.0,-999.0,FAILED
03480512,-999.0,-999.0,FAILED
03480515,-999.0,-999.0,FAILED
03480520,-999.0,-999.0,FAILED
03480525,-999.0,-999.0,FAILED
03480605,-999.0,-999.0,FAILED
03480802,-999.0,-999.0,FAILED
03480805,-999.0,-999.0,FAILED
03480815,-999.0,-999.0,FAILED
03480822,-999.0,-999.0,FAILED
03480835,-999.0,-999.0,FAILED
03480852,-999.0,-999.0,FAILED
03480855,-999.0,-999.0,FAILED
03480860,-999.0,-999.0,FAILED
03480870,-999.0,-999.0,FAILED
03480875,-999.0,-999.0,FAILED
03480880,-999.0,-999.0,FAILED
03480890,-999.0,-999.0,FAILED
03480930,-999.0,-999.0,FAILED
03480945,-999.0,-999.0,FAILED
03480955,-999.0,-999.0,FAILED
03480975,-999.0,-999.0,FAILED
03490010,-999.0,-999.0,FAILED
03500003,-999.0,-999.0,FAILED
